ID,PARENT_PRODUCT_ID,PRIMARY_ITEM_NUMBER,ALTERNATE_ITEM_NUMBERS,OPTION1_NAME,OPTION2_NAME,OPTION3_NAME,OPTION1_VALUE,OPTION2_VALUE,OPTION3_VALUE,PRODUCT_NAME,PRODUCT_DESCRIPTION,SORT_ORDER,IMAGE_URL,ADDITIONAL_IMAGE_URLS,WEBSITE_CATEGORY,METRIC_VERSION,IMPERIAL_VERSION,UOM,VENDOR_NAME,WARNING_BADGES,PRODUCT_BADGE,MINIMUM_ORDER_QUANTITTY,FEATURES,DOCUMENTS,ATTTRIBUTE_NAMES,ATTRIBUTE_VALUES,PACKAGE_DISPLAY,STATUS,ISTAXABLE,TAXCODE,MINIMUM_ORDER_INCREMENT
100000007979999,,685.13130,F5285,,,,,,,4 Inch x 0.020 Inch Carbon Steel Knot Standard Twist Threaded Wheel Brush,"<p>The standard twist wire brush can be used for many things, such as for general use where a narrow face, aggressive brush is desired for controlled and confined surface areas.</p>",,https://WinzerCE-caccteonh.ocecdn.oraclecloud.com/content/published/api/v1.1/assets/CONTDB94FFA6ACC3481E9285FF32B7B34BB0/native/68508135.jpg?channelToken=b2919ea283384f7f97e84cde8c787cbf,,Abrasives>Brushes>Wire Wheels & Brushes,,,EA,,,,,,SDS|https://chemmanagement.ehs.com/9/610003B0-D0A0-4364-9756-B22EE75E34EA/ebinder/pdf/?ProductID=133108599,Arbor Size|Brand|Grit|Diameter|Material|Outside Diameter|Thickness|Color|Grade|Point Type,5/8-11 Inch||||Steel|4 Inch|.020 Inch|||,,Active,,,
100000007896267,,821.07513,F5234,,,,,,,3M Scotch-Brite Surface Conditioning Disc Very Fine Grit - Blue  3 inch dia.,"<p>3M Scotch-Brite Surface Conditioning Discs are durable, aggressive non-woven abrasive products for weld refinement applications.</p>",,https://WinzerCE-caccteonh.ocecdn.oraclecloud.com/content/published/api/v1.1/assets/CONT4AAE12DBD1E946DCA3BA2717E5059052/native/82107480.jpg?channelToken=b2919ea283384f7f97e84cde8c787cbf,,Abrasives>Surface Conditioning>Britestrip,,,EA,,,,,,SDS|https://chemmanagement.ehs.com/9/610003B0-D0A0-4364-9756-B22EE75E34EA/ebinder/pdf/?ProductID=133025427,Arbor Size|Brand|Grit|Diameter|Material|Outside Diameter|Thickness|Color|Grade|Point Type,|ShopPro||3 Inch||||Blue|Very Fine|,,Active,,,
100000007895698,,821.05393,F51136,,,,,,,"3M Scotch-Brite™ Surface Conditioning Disc - 1"" - Coarse","<p>3M Scotch-Brite Surface Conditioning Discs are durable, aggressive non-woven abrasive products for weld refinement applications.</p>",,https://WinzerCE-caccteonh.ocecdn.oraclecloud.com/content/published/api/v1.1/assets/CONTD64BDFBE631D4A95A34D60942348BB3D/native/821_05391.jpg?channelToken=b2919ea283384f7f97e84cde8c787cbf,,Abrasives>Surface Conditioning>Roloc Discs,,,EA,,,,,,SDS|https://chemmanagement.ehs.com/9/610003B0-D0A0-4364-9756-B22EE75E34EA/ebinder/pdf/?ProductID=133025380,Arbor Size|Brand|Grit|Diameter|Material|Outside Diameter|Thickness|Color|Grade|Point Type,|3M||1 Inch||||Brown|Coarse|,,Active,,,
100000007981547,,685.52016,F5210,,,,,,,2 Inch x 1 Inch  80 Grit Aluminum Oxide Flap Wheel,"<p>Firm, quality aluminum oxide coated abrasive material. the flaps, arranged like a fan around the shaft of the tool, provide for consistent cutting action, maximum performance and long life.</p>",,https://WinzerCE-caccteonh.ocecdn.oraclecloud.com/content/published/api/v1.1/assets/CONT30EDF2779F33407B8E6A2F8A2CDE09C0/native/68552003.jpg?channelToken=b2919ea283384f7f97e84cde8c787cbf,,Abrasives>Coated Abrasives>Flap Wheels,,,EA,,,,,,SDS|https://chemmanagement.ehs.com/9/610003B0-D0A0-4364-9756-B22EE75E34EA/ebinder/pdf/?ProductID=133717589,Arbor Size|Brand|Grit|Diameter|Material|Outside Diameter|Thickness|Color|Grade|Point Type,||80||Aluminum Oxide|1 Inch||||,,Active,,,
100000007895909,,821.07460,F5279,,,,,,,4 Inch x 1/4 Inch (Extra Coarse) Silicon Carbide Scotch-Brite Clean and Strip Disc,"<p>Tough, open virtually load resistant web makes surface preparation fast and easy. Great for removal of undercoatings, stone guards, seam sealers and rust. Works well under hood webs, in truck beds, door jambs, under carriage and wheel wells. Use with 3M&trade; Wheel Mandrel 07491.</p>",,https://WinzerCE-caccteonh.ocecdn.oraclecloud.com/content/published/api/v1.1/assets/CONTEB1BEBD8714F4674831675F7453CEA40/native/82107460.jpg?channelToken=b2919ea283384f7f97e84cde8c787cbf,,Abrasives>Surface Conditioning>Clean & Strip,,,EA,,,,,,SDS|https://chemmanagement.ehs.com/9/610003B0-D0A0-4364-9756-B22EE75E34EA/ebinder/pdf/?ProductID=133026123,Arbor Size|Brand|Grit|Diameter|Material|Outside Diameter|Thickness|Color|Grade|Point Type,|3M||||||||,,Active,,,
100000007895139,,820.1200,F51170,,,,,,,Waterproof Silicon Paper - 1200 Grade,"<p>This waterproof silicone paper is a silicone carbide abrasive for fast cutting and finishing surfaces made of plastic, rubber, fiberglass and composite materials.</p>",,https://WinzerCE-caccteonh.ocecdn.oraclecloud.com/content/published/api/v1.1/assets/CONT556F52B0FB9B4CCA977567BDC968B205/native/820_2000.jpg?channelToken=b2919ea283384f7f97e84cde8c787cbf,,Abrasives>Coated Abrasives>Wet or Dry Abrasives,,,EA,,,,,,SDS|https://chemmanagement.ehs.com/9/610003B0-D0A0-4364-9756-B22EE75E34EA/ebinder/pdf/?ProductID=133114396,Arbor Size|Brand|Grit|Diameter|Material|Outside Diameter|Thickness|Color|Grade|Point Type,||1200||Silicone Carbide|9 Inch||||,,Active,,,
100000007927602,,898.8112,F5551,,,,,,,1-1/2 Inch x 1-1/2 Inch Spiral Band Rubber Expanding Drum,<p>Spiral abrasive bands are used for sanding and finishing of curved and contoured surfaces.</p>,,https://WinzerCE-caccteonh.ocecdn.oraclecloud.com/content/published/api/v1.1/assets/CONT760AD0BFE38E4EFE8AF32349530E4F93/native/898834140.jpg?channelToken=b2919ea283384f7f97e84cde8c787cbf,,Abrasives>Coated Abrasives>Spiral Bands,,,EA,,,,,,,Arbor Size|Brand|Grit|Diameter|Material|Outside Diameter|Thickness|Color|Grade|Point Type,||||Aluminum Oxide|1-1/2 Inch||||,,Active,,,
100000007926834,,898.12022,F5405,,,,,,,6 Inch x 5/16 Inch-24 Psa Disc Back-Up Pad Male,<p>These are designed to be back-up pads for stick-on discs.</p>,,https://WinzerCE-caccteonh.ocecdn.oraclecloud.com/content/published/api/v1.1/assets/CONT0A94C40FC1B0408FAB67DC53F2CCF68D/native/898_12022.jpg?channelToken=b2919ea283384f7f97e84cde8c787cbf,,Abrasives>Coated Abrasives>PSA,,,EA,,,,,,,Arbor Size|Brand|Grit|Diameter|Material|Outside Diameter|Thickness|Color|Grade|Point Type,|||||6 Inch||||,,Active,,,
100000007896111,,821.07481.0,F5484,,,,,,,2 Inch Roloc Surface Conditioning Disc Medium Grit,"<p>Surface Conditioning Discs come in a wide variety of grades and sizes and is an ideal first-step for cleaning, blending, deburring, and finishing.</p>",,https://WinzerCE-caccteonh.ocecdn.oraclecloud.com/content/published/api/v1.1/assets/CONT878E77C38A40461F8F74E44B3A8856A8/native/821_07481_0.jpg?channelToken=b2919ea283384f7f97e84cde8c787cbf,,Abrasives>Surface Conditioning>Roloc Discs,,,EA,,,,,,SDS|https://chemmanagement.ehs.com/9/610003B0-D0A0-4364-9756-B22EE75E34EA/ebinder/pdf/?ProductID=133501263,Arbor Size|Brand|Grit|Diameter|Material|Outside Diameter|Thickness|Color|Grade|Point Type,|||2 Inch||2 Inch|||Medium|,,Active,,,
100000007895930,,821.074830,F5950,,,,,,,Shoppro 4 Inch Power-Brite Surface Conditioning Disc Medium Grit Maroon - Shop Pro,"<p>The Power-Brite surface conditoning discs has even coating, which provides improved performance in deburring and edge applications.</p>",,https://WinzerCE-caccteonh.ocecdn.oraclecloud.com/content/published/api/v1.1/assets/CONT0B0F80E512D244059FE3B81F4A0AC3C6/native/821_074860.jpg?channelToken=b2919ea283384f7f97e84cde8c787cbf,,Abrasives>Surface Conditioning>Roloc Discs,,,EA,,,,,,SDS|https://chemmanagement.ehs.com/9/610003B0-D0A0-4364-9756-B22EE75E34EA/ebinder/pdf/?ProductID=133717570,Arbor Size|Brand|Grit|Diameter|Material|Outside Diameter|Thickness|Color|Grade|Point Type,|ShopPro||||||Maroon|Medium|,,Active,,,
